Abdullah_2005.pdf	Main	NNP	O
Abdullah_2005.pdf	outcome	NN	O
Abdullah_2005.pdf	Self-reported	JJ	O
Abdullah_2005.pdf	7	CD	O
Abdullah_2005.pdf	day	NN	O
Abdullah_2005.pdf	point	NN	O
Abdullah_2005.pdf	prevalence	NN	O
Abdullah_2005.pdf	quit	VBD	O
Abdullah_2005.pdf	rate	NN	O
Abdullah_2005.pdf	34	CD	O
Abdullah_2005.pdf	(	-LRB-	O
Abdullah_2005.pdf	7.4	CD	O
Abdullah_2005.pdf	)	-RRB-	O
Abdullah_2005.pdf	68	CD	O
Abdullah_2005.pdf	(	-LRB-	O
Abdullah_2005.pdf	15.3	CD	O
Abdullah_2005.pdf	)	-RRB-	O
Abdullah_2005.pdf	2.3	CD	O
Abdullah_2005.pdf	(	-LRB-	O
Abdullah_2005.pdf	1.5	CD	O
Abdullah_2005.pdf	Ð3	NN	O
Abdullah_2005.pdf	.5	NN	O
Abdullah_2005.pdf	)	-RRB-	O
Abdullah_2005.pdf	2.1	CD	O
Abdullah_2005.pdf	(	-LRB-	O
Abdullah_2005.pdf	1.4	CD	O
Abdullah_2005.pdf	Ð3	NN	O
Abdullah_2005.pdf	.4	NN	O
Abdullah_2005.pdf	)	-RRB-	O
Abdullah_2005.pdf	Secondary	JJ	O
Abdullah_2005.pdf	outcomes	NNS	O
Abdullah_2005.pdf	;	:	O
Abdullah_2005.pdf	Table	NNP	O
Abdullah_2005.pdf	2	CD	O
Abdullah_2005.pdf	shows	NNS	O
Abdullah_2005.pdf	that	WDT	O
Abdullah_2005.pdf	at	IN	O
Abdullah_2005.pdf	6	CD	O
Abdullah_2005.pdf	month	NN	O
Abdullah_2005.pdf	follow	VB	O
Abdullah_2005.pdf	up	RP	O
Abdullah_2005.pdf	the	DT	O
Abdullah_2005.pdf	7	CD	O
Abdullah_2005.pdf	day	NN	O
Abdullah_2005.pdf	point	NN	O
Abdullah_2005.pdf	prevalence	NN	O
Abdullah_2005.pdf	quit	VBD	O
Abdullah_2005.pdf	rate	NN	O
Abdullah_2005.pdf	was	VBD	O
Abdullah_2005.pdf	signiÞcantly	RB	O
Abdullah_2005.pdf	greater	JJR	O
Abdullah_2005.pdf	in	IN	O
Abdullah_2005.pdf	the	DT	O
Abdullah_2005.pdf	intervention	NN	O
Abdullah_2005.pdf	group	NN	O
Abdullah_2005.pdf	(	-LRB-	O
Abdullah_2005.pdf	15.3	CD	B-5140146_Outcome_value
Abdullah_2005.pdf	%	NN	I-5140146_Outcome_value
Abdullah_2005.pdf	;	:	O
Abdullah_2005.pdf	68/444	CD	O
Abdullah_2005.pdf	)	-RRB-	O
Abdullah_2005.pdf	than	IN	O
Abdullah_2005.pdf	the	DT	O
Abdullah_2005.pdf	control	NN	O
Abdullah_2005.pdf	group	NN	O
Abdullah_2005.pdf	(	-LRB-	O
Abdullah_2005.pdf	7.4	CD	B-5140146_Outcome_value
